HARGA,LT,LB,JKT,JKM,GRS
18000000000,786.0,1000,6,7,1
17900000000,450.0,400,4,3,1
4500000000,124.0,184,3,3,0
4500000000,300.0,235,4,4,1
18000000000,600.0,500,6,6,1
15000000000,741.0,750,5,5,1
8000000000,380.0,450,5,5,1
18900000000,470.0,660,4,4,0
21900000000,377.0,260,6,5,1
5600000000,269.0,300,4,4,1
4000000000,117.0,221,4,3,1
20980000000,959.0,455,6,5,1
3400000000,95.0,156,4,3,1
25000000000,1100.0,550,5,4,1
11500000000,400.0,416,5,3,1
11510000000,233.0,544,7,7,0
3600000000,78.0,185,4,4,0
15000000000,250.0,460,4,4,1
17500000000,518.0,450,5,7,1
4000000000,117.0,221,4,3,1
8000000000,350.0,350,2,1,0
20000000000,550.0,600,5,5,1
30000000000,555.0,527,8,6,1
27000000000,670.0,650,4,4,1
20000000000,1040.0,600,4,3,1
15750000000,598.0,243,4,4,1
34500000000,974.0,800,5,6,1
4300000000,124.0,184,3,3,1
8500000000,230.0,310,5,3,0
9500000000,225.0,400,3,3,1
19000000000,520.0,500,5,5,1
13000000000,208.0,458,4,3,1
11900000000,239.0,568,4,4,1
13000000000,616.0,600,5,4,1
20000000000,890.0,600,5,5,1
7500000000,186.0,380,3,3,1
6150000000,158.0,400,3,3,1
10500000000,500.0,700,4,4,1
13500000000,384.0,450,4,4,1
39875000000,1362.5,1050,5,6,1
19000000000,358.0,635,4,5,1
13900000000,450.0,248,4,4,1
29500000000,923.0,429,9,5,0
22000000000,455.0,570,4,5,1
39875000000,1362.5,1050,6,6,1
13000000000,314.0,450,4,4,1
16000000000,895.0,420,5,5,1
18000000000,968.0,600,4,3,1
30000000000,1000.0,800,5,6,1
39875000000,1362.5,1050,5,5,1
6000000000,206.0,300,4,4,1
9550000000,251.0,288,4,5,0
32000000000,973.0,1050,5,5,1
19000000000,435.0,650,4,4,1
39875000000,1362.5,1050,6,6,1
17000000000,624.0,557,6,5,0
19000000000,870.0,700,6,4,1
14700000000,474.0,455,4,5,1
13800000000,260.0,360,6,5,1
15000000000,450.0,400,4,3,0
10000000000,160.0,250,3,4,1
6250000000,150.0,440,3,2,1
7800000000,200.0,390,4,4,1
6800000000,137.0,285,4,3,1
15000000000,398.0,500,5,4,1
19000000000,916.0,1000,5,7,0
6750000000,217.0,193,4,4,0
28000000000,330.0,300,3,3,1
17000000000,921.0,310,3,3,1
11900000000,260.0,365,4,4,1
9530000000,150.0,523,3,3,0
10400000000,282.0,280,4,3,1
6500000000,138.0,290,4,3,1
15000000000,658.0,500,3,3,1
6000000000,200.0,272,4,4,1
6900000000,137.0,315,3,2,1
16000000000,521.0,470,7,6,1
19000000000,400.0,788,4,3,1
25000000000,865.0,450,4,4,1
15500000000,1100.0,600,4,4,1
12600000000,540.0,800,5,4,0
7900000000,228.0,465,4,4,1
20000000000,462.0,645,5,5,1
5000000000,143.0,200,3,3,1
18000000000,1362.5,650,6,6,1
1100000000,90.0,180,3,3,1
6500000000,427.0,300,4,4,1
17000000000,407.0,850,6,5,1
